drug,adr,a,n_drug,n_adr,PRR,PRR_lower95,PRR_upper95,chi2_PRR,pvalue_PRR,ROR,ROR_lower95,ROR_upper95,IC,IC_lower95,IC_upper95,IC025,EBGM,EB05,EB95,signal_PRR,signal_ROR,signal_IC,signal_EBGM,n_methods_flagged,signal_ANY_3,signal_ALL_4,signal_strength
Rosuvastatin,Respiratory Distress,5,69,1443,36.1977604569108,16.205350433975074,80.85464534903562,125.27374747763054,4.43364829393251e-29,38.91854672044793,16.269377854976284,93.09841423151926,3.0780239044646516,2.242280588952708,3.913767219976595,1.670905056919032,25.086170778934026,6.722707633356972,43.449633924511076,True,True,True,True,4,True,True,Strong (4/4)
Betamethasone\Betamethasone Dipropionate,Bilirubin Conjugated Increased,5,1581,63,39.02583288071748,16.304905532962515,93.40843030060572,125.25050059116452,4.485893064832761e-29,39.14614761141878,16.30960720622478,93.95817161250338,3.0779027289869387,2.2421594134749947,3.9136460444988828,1.6707838814413192,25.079355196576746,6.720881162193109,43.43782923096038,True,True,True,True,4,True,True,Strong (4/4)
Insulin Aspart,Tethered Oral Tissue,6,1146,155,24.91152657426193,11.38345154299184,54.51634365169476,101.53510648111003,7.020805802706729e-24,25.03690219773936,11.391819281684532,55.026019651399594,3.0776332277183966,2.3088617748368825,3.846404680599911,1.7832731284791128,18.910156389156068,6.263278202993037,31.5570345753191,True,True,True,True,4,True,True,Strong (4/4)
Olanzapine,Foetal Arrhythmia,18,2651,420,11.36109831186613,7.140000926047318,18.077666402116655,148.38300965865488,3.912079950109705e-34,11.431735392169927,7.161927339029456,18.24712369873054,3.077206167434393,2.6215218290989357,3.53289050576985,2.3099825365634703,10.361658695524165,6.349698809347522,14.373618581700807,True,True,True,True,4,True,True,Strong (4/4)
Saquinavir Mesylate,Thalassaemia Beta,4,662,33,151.3654365206268,56.300506289972915,406.9500770574848,362.41312753702204,8.397252010296481e-81,152.27817458785375,56.30852673827146,411.8140501809321,3.0771814967028197,2.153231795128617,4.001131198277022,1.521551897113601,48.67900490424395,8.888442048548768,88.46956775993914,True,True,True,True,4,True,True,Strong (4/4)
Docetaxel\Docetaxel Anhydrous,Thrombocytopenia,9,418,985,15.287594797942816,8.12768516644833,28.754872995187153,99.3113309378846,2.157700033854573e-23,15.600398747864185,8.174334404668317,29.77275323522046,3.077128261298393,2.441224880651151,3.7130316419456344,2.0064746102086497,13.393875841284657,6.06988350022437,20.717868182344944,True,True,True,True,4,True,True,Strong (4/4)
Desoximetasone,Anti-Cyclic Citrullinated Peptide Antibody Positive,18,1675,665,11.192829432578762,7.068244887938857,17.724262910100403,148.14408437373103,4.411995393014535e-34,11.303227752639517,7.102355729115868,17.988814204881383,3.0767511603215194,2.6210668219860622,3.5324354986569766,2.309527529450597,10.357547562626578,6.347179477604237,14.367915647648921,True,True,True,True,4,True,True,Strong (4/4)
Tocilizumab,Fibromyalgia,18,2134,522,11.268418155550618,7.099208432119641,17.886113493139213,148.20371910334745,4.281532854141939e-34,11.355519436809795,7.126178459502168,18.094947020001133,3.0766781725372288,2.6209938342017716,3.532362510872686,2.309454541666306,10.356888277940325,6.346775463217107,14.367001092663543,True,True,True,True,4,True,True,Strong (4/4)
"Phloroglucinol\1,3,5-Trimethoxybenzene",Periventricular Leukomalacia,4,84,262,135.54984949583968,54.71298685995796,335.8208489946606,359.5034628975859,3.611633640725276e-80,142.22945324795464,54.61003862807382,370.4303801904418,3.0765155463712244,2.1525658447970217,4.000465247945427,1.5208859467820057,48.535389406397684,8.862218874258524,88.20855993853684,True,True,True,True,4,True,True,Strong (4/4)
Lormetazepam,Pyelocaliectasis,8,532,628,16.914746929062964,8.642372324401753,33.10533878139185,96.4701320625218,9.060034717904418e-23,17.156548310850518,8.672206049509628,33.94143869069991,3.076387904729238,2.404117792849616,3.7486580166088603,1.9445045530951803,14.434125752557575,6.065417136737441,22.80283436837771,True,True,True,True,4,True,True,Strong (4/4)
Golimumab,Helicobacter Infection,18,2037,547,11.249181482704484,7.090506312327292,17.8469743142061,148.1404492098859,4.420075369961429e-34,11.340294498797256,7.118704855119787,18.06540402176672,3.0763872579253513,2.620702919589894,3.5320715962608085,2.3091636270544287,10.354261004418376,6.345165451148174,14.36335655768858,True,True,True,True,4,True,True,Strong (4/4)
Topiramate,Supraventricular Tachycardia,9,1769,233,15.694477256608042,8.213378720355397,29.98968204738146,99.27707568765801,2.195345994805584e-23,15.769326136720878,8.224854426132305,30.234169983140337,3.0762579462989232,2.440354565651682,3.7121613269461644,2.00560429520918,13.380424171412075,6.063787425422913,20.697060917401238,True,True,True,True,4,True,True,Strong (4/4)
Mesalamine,Congenital Naevus,4,669,33,149.78123061733393,55.70955194726557,402.7032395894926,358.552257922255,5.818718840655043e-80,150.6748462351488,55.717375738069535,407.4655165870227,3.0762319941821388,2.152282292607936,4.000181695756341,1.5206023945929201,48.474476850462445,8.851096672304656,88.09785702862024,True,True,True,True,4,True,True,Strong (4/4)
Folic Acid,Facial Asymmetry,6,2545,70,25.951166292849976,11.594999485795588,58.08219593145958,101.41104610147597,7.474580450382376e-24,26.009940612737353,11.599426109492166,58.323317403135036,3.0761532922518033,2.307381839370289,3.8449247451333175,1.7817931930125195,18.863564752845857,6.247846475505545,31.479283030186167,True,True,True,True,4,True,True,Strong (4/4)
Misoprostol,Heart Sounds Abnormal,4,1053,21,160.3628042579158,57.01105025182955,451.0744649654538,358.15992187013217,7.083672803056599e-80,160.96983597631524,57.02507274805162,454.38413044597405,3.0760840760301753,2.1521343744559727,4.0000337776043775,1.5204544764409567,48.44275704119748,8.845304859448206,88.04020922294676,True,True,True,True,4,True,True,Strong (4/4)
Golimumab,Hip Arthroplasty,14,2037,394,12.269546205751231,7.275333142214593,20.69207844539197,124.1083637148809,7.976627249058608e-29,12.347279193523406,7.294978912611516,20.898662670463956,3.0758822007285236,2.561166654834821,3.590597746622226,2.209269291825861,11.06620980381948,6.209673496091582,15.922746111547376,True,True,True,True,4,True,True,Strong (4/4)
Benazepril Hydrochloride,Congenital Musculoskeletal Disorder Of Skull,4,65,341,133.94106870229007,54.565056576283276,328.78569199375335,356.94044307422496,1.3055739524721462e-79,142.57962059620596,54.42429291563278,373.52709829177695,3.0758704432481605,2.151920741673958,3.999820144822363,1.5202408436589419,48.39701275707086,8.836952276659964,87.95707323748175,True,True,True,True,4,True,True,Strong (4/4)
Ondansetron,Impetigo,6,5093,35,28.246194468523363,12.087216267737523,66.00754750150426,101.7351877080288,6.3462973816251806e-24,28.27825094740349,12.090101978418865,66.14166514655862,3.075854643263264,2.30708319038175,3.8446260961447782,1.7814945440239802,18.854184672578526,6.244739676647216,31.46362966850984,True,True,True,True,4,True,True,Strong (4/4)
Lamivudine,Hemiparesis,6,4953,36,28.098256407540948,12.054385921656488,65.4958301712828,101.68016850968569,6.525036551536917e-24,28.131039852881486,12.057311363101178,65.6328247129937,3.075703920106284,2.3069324672247697,3.844475372987798,1.781343820867,18.84945350728302,6.243172656054659,31.45573435851138,True,True,True,True,4,True,True,Strong (4/4)
Abacavir Sulfate\Lamivudine,Heart Disease Congenital,8,306,1093,16.804122712036087,8.637192634186809,32.69332433359035,96.38562389752052,9.455121742127461e-23,17.226021864273,8.688908675577284,34.15110462634672,3.0756005475107093,2.403330435631087,3.7478706593903315,1.9437171958766515,14.419902248608658,6.059440225764437,22.78036427145288,True,True,True,True,4,True,True,Strong (4/4)
Sarilumab,Helicobacter Infection,10,897,547,14.303528924013733,7.793396699347961,26.251831848520514,103.01083290794853,3.333206209827723e-24,14.452875466754012,7.819390519072185,26.713796778407414,3.075446792684911,2.470582486565897,3.6803110988039247,2.0570528078926937,12.631567638185773,6.077059253834941,19.186076022536604,True,True,True,True,4,True,True,Strong (4/4)
Trimeprazine,Tremor,11,170,3346,13.303304318468655,7.605307698507773,23.27031499652688,107.98599984645857,2.706834821945527e-25,14.148684076353504,7.769527684444765,25.7654350718444,3.0752927571804904,2.497325339359025,3.653260175001956,2.102184349623941,12.08439521540245,6.104278180038089,18.06451225076681,True,True,True,True,4,True,True,Strong (4/4)
Lormetazepam,Cerebral Haemorrhage,8,532,629,16.88753092435007,8.628530657715874,33.0518267865058,96.29463689095212,9.899784298802655e-23,17.12891716970612,8.658302408587542,33.88652758485904,3.0752309423484765,2.4029608304688543,3.7475010542280986,1.9433475907144186,14.413232371190963,6.056637452012646,22.769827290369278,True,True,True,True,4,True,True,Strong (4/4)
Leflunomide,Alopecia,24,2104,753,10.467917161094954,7.014796372843591,15.620879618937092,185.59180798744498,2.914756469241645e-42,10.576903849001607,7.055478093224204,15.855891486426875,3.074887955382394,2.6789155293851166,3.4708603813796715,2.408199687121672,9.78602560142764,6.503450208961708,13.068600993893572,True,True,True,True,4,True,True,Strong (4/4)
Aripiprazole,Dehydration,15,2483,355,12.016218939272324,7.233616757066677,19.96090233222124,129.8595991927992,4.398120071371563e-30,12.082966374854742,7.251578027733258,20.133283522222168,3.0748742614648377,2.577039626831517,3.5727088960981583,2.236683294990369,10.831151041566986,6.238406766557455,15.423895316576518,True,True,True,True,4,True,True,Strong (4/4)
Doxorubicin,Immunosuppression,4,773,29,149.9549412525191,55.18279130608517,407.4908839119703,353.0625277308132,9.12512833177084e-79,150.72870083705996,55.192295181056984,411.6361021316169,3.074835593808077,2.1508858922338745,3.99878529538228,1.5192059942188585,48.1765471488354,8.796696815679333,87.55639748199147,True,True,True,True,4,True,True,Strong (4/4)
